group,Duration (in seconds),prolific_ID,1_Date_of_birth,Age,Gender,Education,Education_numeric,Income,Political,Platforms,Platforms_text,Using_PSPs,Using_Spotify,Personalization,Satisfaction,Personalization_satisfaction,understand_you,understand_other,benefit_1,benefit_4,benefit_5,fee,preferences_1,preferences_4,preferences_5,equal_fee,Fee_personalization,Fee_without_personalization,Personalization_fee_difference
control,212,6104b8e3f05f7e85461041e8,1992,29,Male,High school,2,Less than $1999,Independent,"Amazon Prime / Amazon Music,Disney Plus,Hulu,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,Yes,4,4,4,10,4,2,3,They should be charged the same amount,10,10,0
control,197,60075747ef065523535cb244,1997,24,Female,College / university,3,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Hulu,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,No,4,3,4,10,4,4,3,They should be charged the same amount,10,10,0
control,138,614e96b60c5e8fa053d707f9,1978,43,Male,Graduate school,4,$10000 to $19999,Independent,"Amazon Prime / Amazon Music,Hulu,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,Yes,5,4,5,8,5,2,4,User B,8,10,-2
control,259,5bcbe3ba1fecd00001a92ed5,1980,41,Male,College / university,3,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,HBO Max,Hulu,Netflix,Paramount Plus",,2,0,Sometimes,Sometimes,3,Yes,No,4,3,4,10,4,2,4,They should be charged the same amount,10,10,0
control,211,5e70bf61017e070009a8a738,1998,23,Female,High school,2,$2000 to $4999,Independent,"Disney Plus,Hulu,Netflix,Paramount Plus,Spotify",,2,1,Most of the time,Sometimes,3,Yes,No,4,3,4,10,4,3,4,They should be charged the same amount,10,10,0
control,160,60928d813d9d489c23eab225,1984,37,Male,College / university,3,$5000 to $9999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix,Pandora,Paramount Plus,Peacock",,2,0,Rarely,Sometimes,3,Yes,No,5,3,4,10,3,4,5,They should be charged the same amount,10,10,0
control,254,5f3ed5c238cf461818f961b0,1987,34,Female,College / university,3,$20000 or more,Something else,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix,Spotify,YouTube Premium / YouTube Music",,2,1,Sometimes,Most of the time,4,Yes,No,4,3,5,15,3,4,4,They should be charged the same amount,15,15,0
control,206,6100511e208bbea9bfc3154b,1992,29,Female,Graduate school,4,$2000 to $4999,Independent,"Amazon Prime / Amazon Music,Hulu,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,Yes,4,3,4,8,5,2,3,User A,8,6,2
control,224,614fb78a1b669f5333f1b6be,1981,40,Male,College / university,3,$2000 to $4999,Independent,"Amazon Prime / Amazon Music,Netflix",,2,0,Sometimes,Sometimes,3,Yes,No,4,1,3,8,4,2,4,User A,8,6,2
control,176,5fb30a707a6bcca1fd0fa932,1996,25,Non-binary / third gender,Middle school,1,$2000 to $4999,Independent,"Hulu,Netflix",,2,0,Rarely,Rarely,2,Yes,No,4,2,3,6,5,1,2,They should be charged the same amount,6,6,0
control,874,5e5e9f949ec7440200735db7,1992,29,Female,College / university,3,$2000 to $4999,Republican,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix",,2,0,Sometimes,Sometimes,3,Yes,Yes,4,3,3,7,4,4,3,User A,7,6,1
control,93,60bcefabcd5af65610403732,1990,31,Male,Graduate school,4,$2000 to $4999,Democrat,"Disney Plus,Hulu,Netflix",,2,0,Sometimes,Sometimes,3,Yes,Yes,4,4,3,3,3,3,4,User B,3,5,-2
control,222,611fe0d9d69c432f251593ad,1988,33,Male,High school,2,$2000 to $4999,Something else,"Amazon Prime / Amazon Music,Apple Music,Disney Plus,Hulu,Netflix",,2,0,Sometimes,Sometimes,3,Yes,No,3,3,5,4,5,2,3,They should be charged the same amount,4,4,0
control,235,60fef54a4ebbed44b8512ebd,1990,31,Female,College / university,3,$2000 to $4999,Republican,"Amazon Prime / Amazon Music,Netflix",,2,0,Sometimes,Most of the time,4,Yes,No,5,1,5,10,5,1,5,User A,10,5,5
control,160,60fd98878dcdfec78b7e2ed4,2001,20,Female,College / university,3,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Hulu,Netflix,Spotify",,2,1,Sometimes,Most of the time,4,Yes,No,4,3,5,10,4,3,4,They should be charged the same amount,10,10,0
control,116,5c5084002423780001085259,1995,26,Male,College / university,3,Less than $1999,Independent,"Apple Music,Netflix",,2,0,Sometimes,Sometimes,3,Yes,Yes,2,3,5,10,4,2,2,They should be charged the same amount,10,10,0
control,388,601c170bd8db9368fc2d996b,1982,39,Female,College / university,3,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,Netflix",,2,0,Sometimes,Most of the time,4,Yes,No,4,1,5,10,5,1,3,They should be charged the same amount,10,10,0
control,169,5f13b237c08bc13e4ef2e760,1989,32,Female,College / university,3,$2000 to $4999,Something else,"Disney Plus,Hulu,Netflix,Paramount Plus",,2,0,Sometimes,Sometimes,3,Yes,No,3,3,4,5,4,3,4,They should be charged the same amount,5,5,0
control,160,5f9ee5d49932bc4ba79ea5af,1989,32,Female,College / university,3,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Netflix,Other",Tidal,2,0,Sometimes,Sometimes,3,Yes,No,4,2,5,10,5,1,1,They should be charged the same amount,10,10,0
control,276,615635c1fb30fbe5bca3b0db,1986,35,Female,Graduate school,4,Less than $1999,Democrat,Amazon Prime / Amazon Music,,1,0,Never,,0,Yes,Yes,2,2,4,7,5,2,4,They should be charged the same amount,6,6,0
control,168,5f89c0b6ee73570009806c66,1991,30,Male,High school,2,Less than $1999,Something else,"Amazon Prime / Amazon Music,Apple Music,Disney Plus,HBO Max,Hulu,Netflix,Paramount Plus,Peacock",,2,0,Most of the time,Sometimes,3,Yes,No,4,2,4,9,3,3,4,They should be charged the same amount,9,9,0
control,251,6125d867d99a47d0fba5d837,2000,21,Female,High school,2,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Apple Music,Netflix",,2,0,Sometimes,Sometimes,3,Yes,No,4,3,3,10,4,3,4,User A,11,10,1
control,170,5f78ce64cb5f144a98a4fa38,1997,24,Female,College / university,3,Prefer not to say,Democrat,"Disney Plus,HBO Max,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,No,4,1,3,15,4,3,1,User A,15,10,5
control,234,60ff2318247d3041dc2c352b,1986,35,Female,College / university,3,$2000 to $4999,Something else,"Hulu,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,No,4,3,4,10,4,2,4,User A,10,8,2
control,277,60fefa8d26f46e84a295b223,2001,20,Female,College / university,3,$5000 to $9999,Independent,"Apple Music,Disney Plus,Hulu,Netflix",,2,0,Rarely,Sometimes,3,Yes,No,4,2,4,8,4,3,2,User A,10,8,2
control,223,5ea163d4c066eb0008cf5741,2001,20,Male,High school,2,Less than $1999,Independent,"Amazon Prime / Amazon Music,Hulu,Spotify,Other",ESPN Plus,2,1,Rarely,Always,5,Yes,Yes,4,4,5,8,5,2,4,They should be charged the same amount,8,8,0
control,75,60919c8f1b024991374cfb2d,1998,23,Female,College / university,3,$10000 to $19999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,Hulu,Netflix",,2,0,Sometimes,Sometimes,3,Yes,Yes,4,4,4,9,4,3,5,They should be charged the same amount,9,9,0
control,202,60fb22ce3a5f8652a3d55705,2003,18,Male,High school,2,Prefer not to say,Democrat,"Disney Plus,Hulu",,2,0,Rarely,Never,1,Yes,Yes,2,5,5,5,4,2,1,They should be charged the same amount,5,5,0
control,196,5c0abcc49f5dfb00011cf6a6,1983,38,Female,College / university,3,$5000 to $9999,Republican,"Amazon Prime / Amazon Music,Disney Plus,Hulu,Netflix,Spotify",,2,1,Sometimes,Most of the time,4,Yes,No,3,3,5,5,5,1,2,User A,5,3,2
control,494,60fcd0f990314dce9c243fef,2000,21,Female,College / university,3,Less than $1999,Republican,"Amazon Prime / Amazon Music,Apple Music,Disney Plus,HBO Max,Hulu,Netflix,Pandora,Peacock",,2,0,Most of the time,Rarely,2,Yes,No,2,1,4,5,2,2,4,They should be charged the same amount,5,5,0
control,216,5b9eec9ad259900001106e03,1982,39,Female,College / university,3,$2000 to $4999,Independent,"Amazon Prime / Amazon Music,Apple Music,Disney Plus,Hulu,Netflix",,2,0,Sometimes,Sometimes,3,Yes,Yes,4,3,5,16,5,1,4,They should be charged the same amount,16,16,0
control,156,61565e791eafbce15194e0ac,1985,36,Female,College / university,3,$20000 or more,Independent,"Amazon Prime / Amazon Music,HBO Max,Hulu,Netflix",,2,0,Sometimes,Sometimes,3,Yes,Yes,4,4,4,7,4,2,4,User A,7,0,7
control,117,60fcdd75bb9779ae53d250ec,2000,21,Female,College / university,3,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Apple Music,Disney Plus,Hulu,Netflix,Spotify",,2,1,Most of the time,Sometimes,3,Yes,No,5,2,3,6,5,2,5,They should be charged the same amount,6,6,0
control,358,5ecc21af3a06650cd50ce0c8,1996,25,Female,College / university,3,$5000 to $9999,Democrat,"Disney Plus,HBO Max,Hulu,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,No,4,3,4,10,4,2,4,They should be charged the same amount,10,10,0
control,145,60bfa4efac82fd3beade07ad,1996,25,Female,Graduate school,4,$2000 to $4999,Democrat,"Disney Plus,Hulu,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,No,4,2,4,10,4,2,4,User A,10,8,2
control,197,611c4857043a69d19285aaa1,2000,21,Female,High school,2,Less than $1999,Republican,"Amazon Prime / Amazon Music,Disney Plus,Hulu,Netflix,Peacock,Spotify",,2,1,Sometimes,Most of the time,4,Yes,No,3,3,5,10,5,3,3,They should be charged the same amount,10,10,0
control,178,610da8a09fbfccc2c521b667,2000,21,Female,High school,2,Less than $1999,Republican,Apple Music,,1,0,Never,,0,Yes,No,1,3,4,10,2,4,3,They should be charged the same amount,5,5,0
control,197,60aa30669b1bc58945396e74,1987,34,Female,College / university,3,$2000 to $4999,Republican,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix,Paramount Plus",,2,0,Sometimes,Sometimes,3,Yes,No,4,3,4,10,5,3,2,User A,10,5,5
control,132,61318c2656a34e6ec91c9153,2001,20,Male,High school,2,Less than $1999,Democrat,"Netflix,Spotify",,2,1,Sometimes,Most of the time,4,Yes,No,4,4,4,5,5,1,3,They should be charged the same amount,5,5,0
control,218,5e840dbae247c117b20f811a,1996,25,Female,High school,2,Less than $1999,Independent,"HBO Max,Hulu,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,Yes,4,3,5,7,4,2,3,User A,7,5,2
control,200,61689fe421be591ff5b59a97,1983,38,Non-binary / third gender,High school,2,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,Netflix,Spotify",,2,1,Rarely,Sometimes,3,Yes,Yes,3,3,5,7,5,1,1,They should be charged the same amount,7,7,0
control,405,6112b593ca1b683da02678d3,2001,20,Female,High school,2,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,No,5,1,4,12,4,3,4,They should be charged the same amount,12,12,0
control,182,5d2e56ae72b6780001c66698,1997,24,Prefer not to say,College / university,3,$2000 to $4999,Something else,Other,I have a paid version of spotify through a spoofed app for free,1,0,Rarely,Rarely,2,Yes,Yes,2,2,4,5,5,2,2,They should be charged the same amount,5,5,0
control,278,60fe4cecfe7d457373644c61,1996,25,Female,High school,2,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix",,2,0,Most of the time,Most of the time,4,Yes,No,4,3,4,5,4,2,4,They should be charged the same amount,6,6,0
control,110,5ef2d7247fab4b18187eb534,1998,23,Male,College / university,3,$2000 to $4999,Democrat,Hulu,,1,0,Never,,0,Yes,Yes,2,2,4,5,5,2,1,They should be charged the same amount,5,5,0
control,145,60fcfa4abd465a8d0e25900d,2002,19,Female,High school,2,Less than $1999,Independent,"Amazon Prime / Amazon Music,HBO Max,Hulu,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,No,4,1,3,8,3,4,5,User A,9,7,2
control,294,5f6a545fdca6c40ffe5fd6fa,1977,44,Male,College / university,3,$5000 to $9999,Republican,"Disney Plus,Hulu",,2,0,Sometimes,Sometimes,3,Yes,No,4,1,5,11,5,1,5,User B,11,13,-2
control,186,60fdca9c4b75824bdfe2f80a,1987,34,Female,Graduate school,4,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Apple Music,Disney Plus,HBO Max,Hulu,Netflix",,2,0,Sometimes,Sometimes,3,Yes,No,4,1,5,7,4,2,3,User A,10,7,3
control,193,5c43349027bb0d0001282427,1994,27,Male,College / university,3,$5000 to $9999,Republican,"Amazon Prime / Amazon Music,Disney Plus,Netflix,Spotify",,2,1,Most of the time,Most of the time,4,Yes,No,5,1,3,9,5,1,4,They should be charged the same amount,9,9,0
control,130,5d168a41d9ef120017ab26b0,1995,26,Male,High school,2,Less than $1999,Independent,,,0,0,,,0,Yes,No,2,3,5,7,5,4,3,They should be charged the same amount,7,7,0
control,232,615a0ac5438649c5134564f1,1997,24,Female,College / university,3,Less than $1999,Democrat,"Apple Music,Disney Plus,Hulu,Netflix,Peacock",,2,0,Sometimes,Sometimes,3,Yes,No,3,2,3,10,4,2,3,They should be charged the same amount,10,10,0
control,185,61020197f83a83260d8c78b4,1995,26,Female,College / university,3,$10000 to $19999,Republican,"Amazon Prime / Amazon Music,Disney Plus,Netflix,YouTube Premium / YouTube Music",,2,0,Sometimes,Most of the time,4,Yes,Yes,4,4,3,9,4,3,4,They should be charged the same amount,9,9,0
control,102,5f3b4e9c61c5b5864b78df00,1993,28,Male,College / university,3,$2000 to $4999,Democrat,Netflix,,1,0,Rarely,Sometimes,3,Yes,No,3,4,3,5,2,4,4,User A,5,4,1
control,744,5d24e7aec81128001721628f,1995,26,Female,College / university,3,$2000 to $4999,Independent,"Amazon Prime / Amazon Music,Paramount Plus,Spotify",,2,1,Sometimes,Sometimes,3,Yes,Yes,3,3,4,10,4,3,3,They should be charged the same amount,5,5,0
control,183,5c31783f2c45d400014b2bfb,1998,23,Female,High school,2,Prefer not to say,Democrat,Netflix,,1,0,Rarely,Sometimes,3,Yes,No,4,3,4,12,4,2,2,They should be charged the same amount,12,12,0
control,122,5e33837fa617e535a5be85a7,1988,33,Female,Graduate school,4,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,Hulu",,2,0,Sometimes,Sometimes,3,Yes,Yes,3,3,4,8,4,3,2,They should be charged the same amount,8,8,0
control,204,600e05e8f5699b63c43106a2,2002,19,Male,High school,2,Less than $1999,Republican,"Amazon Prime / Amazon Music,Disney Plus,Hulu,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,Yes,4,2,4,5,3,1,4,User A,5,4,1
control,173,610833f467aa393cdb89961f,2003,18,Female,High school,2,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Hulu,Spotify",,2,1,Sometimes,Rarely,2,Yes,Yes,3,4,5,7,4,4,2,User A,7,5,2
control,140,60fe0a2c24c7fad349551d47,1998,23,Non-binary / third gender,College / university,3,Less than $1999,Democrat,Spotify,,1,1,Rarely,Rarely,2,Yes,Yes,2,3,5,10,5,1,2,They should be charged the same amount,10,10,0
control,188,61074f618d94fde7f0b46c78,1999,22,Male,College / university,3,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Apple Music,Netflix,Spotify",,2,1,Rarely,Sometimes,3,Yes,Yes,4,4,4,10,5,3,5,They should be charged the same amount,10,10,0
control,177,6070fa4b22640f1d2b78c5a7,2000,21,Non-binary / third gender,High school,2,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Apple Music,HBO Max,Hulu,Netflix,YouTube Premium / YouTube Music",,2,0,Sometimes,Always,5,Yes,No,3,1,4,15,5,1,4,User A,15,10,5
control,130,611140ba9ca56c93b586cdc8,2000,21,Female,College / university,3,$2000 to $4999,Independent,"Amazon Prime / Amazon Music,Disney Plus,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,Yes,4,2,3,5,4,4,3,User A,10,5,5
control,238,6108621d7dec27d392e7bb9d,1999,22,Female,College / university,3,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,HBO Max,Hulu,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,Yes,4,3,5,15,5,1,4,They should be charged the same amount,15,15,0
control,238,60f6dc54d60339c97825e1b1,1993,28,Female,Graduate school,4,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Apple Music,Disney Plus,Hulu,Netflix,Pandora",,2,0,Sometimes,Sometimes,3,Yes,No,5,1,5,4,4,2,5,User A,4,3,1
control,185,610d8fd45ccab90c42a4a6e2,1991,30,Female,College / university,3,$2000 to $4999,Democrat,"Apple Music,Disney Plus,Netflix",,2,0,Sometimes,Most of the time,4,Yes,Yes,4,4,5,6,5,2,5,They should be charged the same amount,5,5,0
control,185,607cf097a3821b079390ebb5,1995,26,Female,High school,2,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Spotify",,2,1,Sometimes,Sometimes,3,Yes,No,4,2,4,7,4,2,5,They should be charged the same amount,7,7,0
control,208,6116b830b2aa849c622e62b6,1993,28,Female,College / university,3,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,HBO Max,Hulu,Netflix,Spotify",,2,1,Most of the time,Sometimes,3,Yes,No,4,2,3,5,5,2,4,User A,8,5,3
control,288,61084fc7a9cec1c646c1c4cf,1994,27,Female,High school,2,$20000 or more,Republican,"Amazon Prime / Amazon Music,Apple Music,Disney Plus,Hulu,Netflix",,2,0,Never,,0,Yes,No,3,3,4,10,5,2,5,User A,13,10,3
control,202,6102f78ac1791768db58ed54,1999,22,Female,High school,2,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix,Spotify",,2,1,Most of the time,Sometimes,3,Yes,No,4,1,3,7,4,2,5,They should be charged the same amount,7,7,0
control,144,61059e15cd4d87d59208ec25,1987,34,Male,High school,2,$5000 to $9999,Democrat,"Amazon Prime / Amazon Music,Apple Music,Disney Plus,HBO Max,Hulu,Netflix",,2,0,Rarely,Sometimes,3,Yes,Yes,2,2,5,10,5,2,4,They should be charged the same amount,10,10,0
control,241,60e1502b47521706229419bd,1997,24,Female,College / university,3,$20000 or more,Democrat,"Amazon Prime / Amazon Music,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,No,3,1,2,10,5,1,5,They should be charged the same amount,10,10,0
control,159,600612a62facd195d940e24d,2000,21,Male,High school,2,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,Hulu,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,Yes,4,4,5,10,5,2,5,They should be charged the same amount,10,10,0
control,225,5f51f7f62213ce4424f02d54,1988,33,Female,College / university,3,$2000 to $4999,Democrat,"Netflix,Spotify",,2,1,Sometimes,Most of the time,4,Yes,No,4,1,4,10,5,1,4,They should be charged the same amount,10,10,0
control,278,6070a8a4927f5da6bf05cb08,1994,27,Female,College / university,3,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,Hulu,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,No,4,2,2,11,5,2,1,User A,15,10,5
control,166,5c634094e30ff200016baccb,2000,21,Male,High school,2,$2000 to $4999,Republican,"Netflix,Spotify",,2,1,Sometimes,Most of the time,4,Yes,No,5,1,3,8,4,4,5,They should be charged the same amount,8,8,0
control,326,6151ab39505e53671ba5eeab,1985,36,Male,College / university,3,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,Hulu,Netflix",,2,0,Sometimes,Sometimes,3,Yes,No,4,3,5,12,5,1,3,User A,12,6,6
control,252,5b6872f33ffbf200015434ef,1992,29,Female,College / university,3,$5000 to $9999,Democrat,"Disney Plus,Netflix,Spotify",,2,1,Sometimes,Most of the time,4,Yes,No,4,3,3,7,4,3,4,User A,10,7,3
control,145,558b7b06fdf99b21155f2c1b,1990,31,Male,College / university,3,$2000 to $4999,Independent,Netflix,,1,0,Never,,0,Yes,Yes,4,4,5,5,3,5,5,User B,5,6,-1
control,155,5e825bfb726b2a987e7ea387,1993,28,Male,College / university,3,$5000 to $9999,Independent,Spotify,,1,1,Sometimes,Sometimes,3,Yes,Yes,2,2,4,11,2,1,1,They should be charged the same amount,10,10,0
control,223,61083014d80af80931fdcca9,1997,24,Male,College / university,3,$2000 to $4999,Independent,"Amazon Prime / Amazon Music,Disney Plus,Hulu,Netflix,Spotify,YouTube Premium / YouTube Music",,2,1,Sometimes,Sometimes,3,Yes,Yes,5,4,4,10,4,3,5,They should be charged the same amount,10,10,0
control,127,5c64aca5f4513900012151bf,1996,25,Male,College / university,3,$5000 to $9999,Democrat,"Amazon Prime / Amazon Music,HBO Max,Hulu,Netflix,Spotify",,2,1,Sometimes,Most of the time,4,Yes,No,4,3,4,8,5,2,4,They should be charged the same amount,8,8,0
control,151,5cb780117c68990016026fcf,1991,30,Male,College / university,3,$2000 to $4999,Independent,"Amazon Prime / Amazon Music,Disney Plus,Hulu,Netflix,Pandora",,2,0,Never,,0,Yes,No,2,2,5,7,5,1,2,They should be charged the same amount,7,7,0
control,158,6111535477f8632ee162925b,1981,40,Male,College / university,3,$5000 to $9999,Independent,"Amazon Prime / Amazon Music,Disney Plus,Hulu,Netflix,Pandora",,2,0,Most of the time,Most of the time,4,Yes,Yes,3,4,5,10,4,2,4,User A,10,5,5
control,212,5e371009171c40696077e5a5,2002,19,Male,High school,2,Less than $1999,Something else,"Amazon Prime / Amazon Music,Disney Plus,Hulu,Netflix",,2,0,Rarely,Rarely,2,Yes,No,3,2,5,8,5,2,3,They should be charged the same amount,8,8,0
control,459,5f1243368f29f401265699e4,2000,21,Female,College / university,3,$10000 to $19999,Something else,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix,Spotify,YouTube Premium / YouTube Music",,2,1,Sometimes,Most of the time,4,Yes,Yes,4,4,4,10,4,2,4,User A,15,10,5
control,155,5c683401b75f9000019f49ba,1984,37,Male,Graduate school,4,$2000 to $4999,Democrat,"HBO Max,Netflix,Peacock,Spotify,YouTube Premium / YouTube Music",,2,1,Sometimes,Sometimes,3,Yes,Yes,4,3,5,10,3,3,4,User B,5,10,-5
control,245,5b7c877f9dc643000172043d,1983,38,Male,Graduate school,4,$5000 to $9999,Republican,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix,Peacock",,2,0,Sometimes,Most of the time,4,Yes,No,4,1,5,8,5,2,4,They should be charged the same amount,8,8,0
control,173,5ee68971dde4ef4056079287,1986,35,Male,College / university,3,$5000 to $9999,Democrat,"Amazon Prime / Amazon Music,Apple Music,Disney Plus,HBO Max,Hulu,Netflix,Paramount Plus,Peacock,Spotify",,2,1,Most of the time,Sometimes,3,Yes,No,4,4,4,5,5,1,4,They should be charged the same amount,5,5,0
control,152,60c7e1947c31373b899befe2,1999,22,Male,High school,2,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Spotify",,2,1,Most of the time,Sometimes,3,Yes,Yes,4,3,4,10,5,2,4,They should be charged the same amount,10,10,0
control,154,602f5ba5c083e3c479100d11,1993,28,Non-binary / third gender,Graduate school,4,Less than $1999,Democrat,"Amazon Prime / Amazon Music,HBO Max,Hulu,Netflix,Paramount Plus,YouTube Premium / YouTube Music",,2,0,Sometimes,Sometimes,3,Yes,No,4,3,5,5,5,1,3,They should be charged the same amount,5,5,0
control,200,60bfd6a8478e7cbb5e86ad85,1996,25,Male,College / university,3,$2000 to $4999,Democrat,"Hulu,Netflix,Spotify",,2,1,Sometimes,Rarely,2,Yes,Yes,2,3,5,8,4,2,2,They should be charged the same amount,8,8,0
control,128,604fc236aa7494027d55c553,1987,34,Male,High school,2,Less than $1999,Democrat,Spotify,,1,1,Sometimes,Most of the time,4,Yes,No,4,2,5,8,5,1,5,They should be charged the same amount,8,8,0
control,470,5cba1809102bd400130c19e7,1977,44,Female,Graduate school,4,$5000 to $9999,Democrat,"Amazon Prime / Amazon Music,HBO Max,Hulu",,2,0,Most of the time,Most of the time,4,Yes,No,4,1,4,15,5,1,5,They should be charged the same amount,15,15,0
control,230,5fb09a28a72a8c49d65aeef0,1990,31,Male,Graduate school,4,$10000 to $19999,Democrat,"Amazon Prime / Amazon Music,Netflix",,2,0,Sometimes,Sometimes,3,Yes,No,4,4,5,6,4,2,4,They should be charged the same amount,6,6,0
control,146,610a06e4613ff666139fd6d9,2001,20,Male,College / university,3,$2000 to $4999,Independent,"Amazon Prime / Amazon Music,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,Yes,4,4,5,10,5,2,4,They should be charged the same amount,10,10,0
control,195,5e10d288a2c6967a2c655aad,1990,31,Male,Graduate school,4,$5000 to $9999,Democrat,"Amazon Prime / Amazon Music,Hulu,Netflix,Spotify",,2,1,Sometimes,Most of the time,4,Yes,Yes,3,3,5,12,5,4,3,User B,8,12,-4
control,192,611c63ddaefe8fdf13c8cbad,1996,25,Male,High school,2,Less than $1999,Republican,"Amazon Prime / Amazon Music,Hulu,Netflix",,2,0,Rarely,Rarely,2,Yes,No,2,2,4,8,4,2,2,They should be charged the same amount,6,6,0
control,240,61572711597846f37188031b,1991,30,Male,Graduate school,4,$5000 to $9999,Republican,"Amazon Prime / Amazon Music,Hulu,Netflix,Spotify",,2,1,Never,,0,Yes,No,2,2,5,14,4,1,5,They should be charged the same amount,14,14,0
control,401,60cbde84eb3169645f11cdbc,1979,42,Male,College / university,3,Less than $1999,Independent,Netflix,,1,0,Rarely,Sometimes,3,Yes,No,4,1,3,10,5,1,2,User A,10,10,0
control,149,5e6bba5459a3bd17473d4d6a,1983,38,Male,College / university,3,Less than $1999,Democrat,"HBO Max,Netflix",,2,0,Never,,0,Yes,No,4,3,5,3,5,1,1,User A,4,0,4
control,338,60da4cf315192e8bb8fd86cd,1993,28,Male,High school,2,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Apple Music,Disney Plus,HBO Max,Hulu,Netflix,Spotify,YouTube Premium / YouTube Music",,2,1,Rarely,Never,1,Yes,No,3,1,4,10,5,1,2,User A,15,10,5
control,118,6151b488c4a262e94e01b888,1998,23,Male,High school,2,$10000 to $19999,Independent,"Apple Music,Hulu",,2,0,Sometimes,Most of the time,4,Yes,Yes,3,2,3,8,3,3,4,They should be charged the same amount,8,8,0
control,196,5afb313ab1e92800016421b6,1984,37,Male,College / university,3,$2000 to $4999,Independent,"Amazon Prime / Amazon Music,Disney Plus,Hulu,Netflix,Paramount Plus",,2,0,Rarely,Sometimes,3,Yes,Yes,1,1,1,7,5,1,1,They should be charged the same amount,7,7,0
control,143,5c6c6a5e85108c00012b0e6e,1990,31,Male,Graduate school,4,$5000 to $9999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Spotify",,2,1,Rarely,Rarely,2,Yes,Yes,4,4,5,10,4,2,2,They should be charged the same amount,10,10,0
control,144,614e0365c84907af6177bb88,2002,19,Male,High school,2,Less than $1999,Independent,"Amazon Prime / Amazon Music,Netflix",,2,0,Sometimes,Most of the time,4,Yes,No,4,2,5,12,5,2,5,They should be charged the same amount,12,12,0
control,147,5c3ffeedc2d0b700017d0d5e,1998,23,Male,College / university,3,$2000 to $4999,Independent,"Amazon Prime / Amazon Music,Disney Plus,Netflix",,2,0,Rarely,Sometimes,3,Yes,Yes,3,4,3,9,2,2,4,They should be charged the same amount,5,5,0
